Code,Name,Year,Median_price,Low_q_Median_price,Median_earning,Low_q_Median_earning,price_to_earning,Low_q_price_to_earning
K04000001,England and Wales,1997-01-01,59950.0,42500.0,16885,12016,3.55,3.54
E92000001,England ,1997-01-01,59995.0,43000.0,16958,12058,3.54,3.57
E12000001,North East,1997-01-01,46500.0,32000.0,15622,11197,2.98,2.86
E12000002,North West,1997-01-01,48500.0,34450.0,16107,11542,3.01,2.98
E12000003,Yorkshire and The Humber,1997-01-01,48500.0,35000.0,15538,11275,3.12,3.1
E12000004,East Midlands,1997-01-01,49950.0,37000.0,15773,11448,3.17,3.23
E12000005,West Midlands,1997-01-01,54000.0,40000.0,15878,11515,3.4,3.47
E12000006,East,1997-01-01,62000.0,45000.0,16858,12251,3.68,3.67
E12000007,London,1997-01-01,83500.0,59500.0,20871,15022,4.0,3.96
E12000008,South East,1997-01-01,72500.0,53000.0,17375,12491,4.17,4.24
E12000009,South West,1997-01-01,59950.0,45000.0,15841,11296,3.78,3.98
W92000004,Wales,1997-01-01,47000.0,35000.0,15679,11124,3.0,3.15
K04000001,England and Wales,1998-01-01,64500.0,45000.0,17631,12533,3.66,3.59
E92000001,England ,1998-01-01,65000.0,45000.0,17709,12606,3.67,3.57
E12000001,North East,1998-01-01,47500.0,32000.0,15778,11395,3.01,2.81
E12000002,North West,1998-01-01,50000.0,35000.0,16587,11876,3.01,2.95
E12000003,Yorkshire and The Humber,1998-01-01,49950.0,35500.0,16368,11740,3.05,3.02
E12000004,East Midlands,1998-01-01,53000.0,38500.0,16279,11714,3.26,3.29
E12000005,West Midlands,1998-01-01,56000.0,41000.0,16718,12037,3.35,3.41
E12000006,East,1998-01-01,67750.0,48000.0,17584,12669,3.85,3.79
E12000007,London,1998-01-01,94950.0,66950.0,21862,15653,4.34,4.28
E12000008,South East,1998-01-01,81000.0,58000.0,18278,13123,4.43,4.42
E12000009,South West,1998-01-01,65000.0,48000.0,16425,11876,3.96,4.04
W92000004,Wales,1998-01-01,49000.0,35950.0,16118,11526,3.04,3.12
K04000001,England and Wales,1999-01-01,70000.0,48000.0,17974,12844,3.89,3.74
E92000001,England ,1999-01-01,71000.0,48500.0,17939,12852,3.96,3.77
E12000001,North East,1999-01-01,50000.0,33000.0,16282,11736,3.07,2.81
E12000002,North West,1999-01-01,52500.0,36000.0,16977,12200,3.09,2.95
E12000003,Yorkshire and The Humber,1999-01-01,52000.0,37000.0,16527,12012,3.15,3.08
E12000004,East Midlands,1999-01-01,56000.0,40000.0,16392,11961,3.42,3.34
E12000005,West Midlands,1999-01-01,59950.0,43500.0,17000,12332,3.53,3.53
E12000006,East,1999-01-01,73995.0,52500.0,18000,13086,4.11,4.01
E12000007,London,1999-01-01,111000.0,76000.0,22487,16090,4.94,4.72
E12000008,South East,1999-01-01,89000.0,63500.0,18737,13608,4.75,4.67
E12000009,South West,1999-01-01,71000.0,52500.0,16727,12062,4.24,4.35
W92000004,Wales,1999-01-01,52000.0,37000.0,16457,11751,3.16,3.15
K04000001,England and Wales,2000-01-01,78500.0,52000.0,19000,13700,4.13,3.8
E92000001,England ,2000-01-01,79995.0,53000.0,19107,13778,4.19,3.85
E12000001,North East,2000-01-01,52000.0,34000.0,17430,12663,2.98,2.68
E12000002,North West,2000-01-01,56000.0,37297.5,17863,12856,3.13,2.9
